Client Details: 
Name => Andreas
Surname => as
Customer_ID => 987088
Address => some
Telephone => 123456
Email => asavva01@cs.ucy.ac.cy
Password => $2y$10$Gf0OpisKSAEOiGjx6qWLUe02yQnrsGisCcCMs3tUdaPZGn5fzSsT2

Memberships: 
ID => 30
CustomerID => 987088
ExpirationDate => 2020-03-28
Type => Open Gym 3 Months

Enrolment: 
Id		 Username		 ClassID		 Date		 
41		 asavva01@cs.ucy.ac.cy	 1052			 2020-03-02
42		 asavva01@cs.ucy.ac.cy	 1057			 2020-02-29
60		 asavva01@cs.ucy.ac.cy	 1083			 2020-03-24

Log-in  Details: 
Id	 Customer_ID	 Date	 
2	 987088		 2020-03-22 13:15:31
3	 987088		 2020-03-22 13:50:48
4	 987088		 2020-03-22 16:49:04
5	 987088		 2020-03-22 16:49:45
6	 987088		 2020-03-22 16:50:03
7	 987088		 2020-03-22 16:51:32
8	 987088		 2020-03-22 16:53:34
9	 987088		 2020-03-22 16:55:05
10	 987088		 2020-03-22 16:55:55
11	 987088		 2020-03-22 16:58:57
12	 987088		 2020-03-22 17:00:39
13	 987088		 2020-03-22 17:03:00
14	 987088		 2020-03-22 17:04:17
15	 987088		 2020-03-22 17:05:54
16	 987088		 2020-03-22 17:07:44
17	 987088		 2020-03-22 17:09:39
18	 987088		 2020-03-22 17:10:23
51	 987088		 2020-03-26 17:33:45
53	 987088		 2020-03-26 17:33:52
54	 987088		 2020-03-26 17:33:59
55	 987088		 2020-03-26 17:34:34
58	 987088		 2020-03-26 17:39:36
60	 987088		 2020-03-26 17:41:11
62	 987088		 2020-03-26 17:46:05
63	 987088		 2020-03-26 17:46:25
64	 987088		 2020-03-26 17:46:59
